Seed_Zone,Lot_Name,Total_Inventory,Inventory Unit,Total Inventory (Adjusted for Summation),Sales Price per lb ($),Species,Collection Area,Elevation,Current Germ Test Results,Storage Location,Common_Name,Species Code
,Balsam Fir- Wisconsin SB07022,2.94,lb,2.94,$71.28,Abies balsamea,Wisconsin,,75/71 2019,SilvaSeed Freezer,Balsam Fir,
,Balsam Fir- Wisconsin SB15008,21.09,lb,21.09,$511.31,Abies balsamea,Wisconsin,,75/77 2019,SilvaSeed Freezer,Balsam Fir,
,Big Leaf Maple SR15014,5.69,lb,5.69,$0.00,Acer macrophyllum,Washington,,,SilvaSeed Freezer,Big Leaf Maple,
,Canaan Fir (Orchard) SB06003,2.00,lb,2.00,$0.00,Abies balsamea var phanerolepsis,,,62/55 2018,SilvaSeed Freezer,Canaan Fir,
,Canaan Fir West Virginia SB94052,0.65,lb,0.65,$0.00,Abies balsamea var phanerolepsis,,,,,Canaan Fir,
,Colorado Blue Spruce SB00057,1.85,lb,1.85,$0.00,Picea pungens glauca,Rio Grande N.F.,,96 2001,SilvaSeed Freezer,Colorado Blue Spruce,
,Colorado Blue Spruce SB09005,0.70,lb,0.70,$0.00,Picea pungens glauca,Rio Grande N.F.,,86/90 2018,SilvaSeed Freezer,Colorado Blue Spruce,
,Colorado Blue Spruce SB12010,37.27,lb,37.27,$0.00,Picea pungens glauca,Rio Grande N.F.,,98/98 2017,SilvaSeed Freezer,Colorado Blue Spruce,
,Colorado Blue Spruce SB94011,0.40,lb,0.40,$0.00,Picea pungens glauca,San Juan N.F.,,88/79 2005,SilvaSeed Freezer,Colorado Blue Spruce,
,Douglas Fir Canada SB20022,1.90,lb,1.90,$300.00,Pseudotsuga menziesii,"Qualicum, Vancouver B.C.",,,SilvaSeed Freezer,Douglas Fir,PSME
,Douglas Fir Canada SB20023,0.45,lb,0.45,$300.00,Pseudotsuga menziesii,Yellow Point B.C.,,,SilvaSeed Freezer,Douglas Fir,PSME
,Douglas Fir Idaho 14-80 SB21051,0.15,lb,0.15,$175.00,Pseudotsuga menziesii,,,,SilvaSeed Freezer,Douglas Fir,PSME
,Douglas Fir Idaho SB21052,0.36,lb,0.36,$175.00,Pseudotsuga menziesii,,,,SilvaSeed Freezer,Douglas Fir,PSME
,Douglas Fir New Mexico SB06061,5.60,lb,5.60,$151.00,Pseudotsuga menziesii,"Lincoln National Forest, New Mexico",,91/94 2020,SilvaSeed Freezer,Douglas Fir,PSME
,Douglas Fir New Mexico SB11034,2.40,lb,2.40,$151.00,Pseudotsuga menziesii,"Lincoln National Forest, New Mexico",7500-9500,95% 2011,SilvaSeed Freezer,Douglas Fir,PSME
,Eastern White Pine New York SB07055,1.60,lb,1.60,$0.00,Pinus strobus,"Adirondack, New York",,,SilvaSeed Freezer,Eastern White Pine,PIST
,Eastern White Pine New York SB20021,2.43,lb,2.43,$0.00,Pinus strobus,"Adirondack, New York",,,SilvaSeed Freezer,Eastern White Pine,PIST
,Engellman Spruce Idaho SB21054,0.26,lb,0.26,$170.00,Picea engelmannii,"Big Spring, Idaho",,,SilvaSeed Freezer,Engellman Spruce,
,Engellman Spruce Idaho SB21068,0.62,lb,0.62,$170.00,Picea engelmannii,,,,SilvaSeed Freezer,Engellman Spruce,
,European Larch Hungary SB10007,3.00,lb,3.00,$0.00,Larix decidua,,,41/40 2019,SilvaSeed Freezer,European Larch,
,Korean Fir SB93012,0.90,lb,0.90,$0.00,Abies koreana,,,,SilvaSeed Freezer,Korean Fir,
,Korean Fir SB93084,0.85,lb,0.85,$0.00,Abies koreana,,,,SilvaSeed Freezer,Korean Fir,
,Lodgepole Pine Idaho SB21055,0.26,lb,0.26,$0.00,Pinus contorta,"Waha, Idaho",,,SilvaSeed Freezer,Lodgepole Pine,PICO
,Lodgepole Pine Idaho SB21056,0.35,lb,0.35,$0.00,Pinus contorta,"Red River, Idaho",,,SilvaSeed Freezer,Lodgepole Pine,PICO
,Lodgepole Pine Idaho SB21057,0.26,lb,0.26,$0.00,Pinus contorta,"Soldiers, Idaho",,,SilvaSeed Freezer,Lodgepole Pine,PICO
,Lutz Spruce A21-05 SR83030,2.80,lb,2.80,$0.00,Picea lutzii,"Seward, Alaska",500,79/63 2019,SilvaSeed Freezer,Lutz Spruce,
,Lutz Spruce A21-05 SR90013,249.08,lb,249.08,$0.00,Picea lutzii,"Seward, Alaska",500,74/77 2017,SilvaSeed Freezer,Lutz Spruce,
,Lutz Spruce Alaska SR94038,7.30,lb,7.30,$0.00,Picea lutzii,,,73/79 2017,SilvaSeed Freezer,Lutz Spruce,
